CActionCon::Action                                        0x0047B3C0 00000071 R......
CActionCon::CActionCon                                    0x0047CA70 0000004C R......
CActionExp::Action                                        0x0047B1E0 0000000B R......
CActionExp::CActionExp                                    0x0047C960 00000015 R......
CActionGState::Action                                     0x0047B4A0 0000005A R......
CActionGState::CActionGState                              0x0047CB30 00000004 R......
CActionGState::_scalar_deleting_destructor_               0x0047C990 00000013 R......
CActionGuide::CActionGuide                                0x0047CB60 0000001A R......
CActionItem::Action                                       0x0047B210 0000001E R......
CActionItem::CActionItem                                  0x0047C9C0 00000058 R......
CActionItem::_CActionItem                                 0x0047CA20 0000002C R... B..
CActionRedistribute::Action                               0x0047B590 0000005E R......
CActionRedistribute::CActionRedistribute                  0x0047CB90 00000030 R......
CActionSaveFlag::Action                                   0x0047B460 00000020 R......
CActionSaveFlag::CActionSaveFlag                          0x0047CAD0 00000060 R......
CActionSpecialty::Action                                  0x0047B160 0000004C R......
CActionSpecialty::_CActionSpecialty                       0x0047C8B0 00000058 R......
CActionTeleport::CActionTeleport                          0x0047CBC0 0000017B R......
CAction::_CAction                                         0x0047C890 0000001D R......
CAlliance::Add                                            0x00419690 00000022 R... B..
CAlliance::AllianceInfo                                   0x00419570 00000115 R... B..
CAlliance::Broadcast                                      0x004197B0 00000042 R... B..
CAlliance::BroadcastLock                                  0x00419750 00000056 R... B..
CAlliance::CAlliance                                      0x00418B20 0000006D R... B..
CAlliance::ChangeGuildName                                0x004198A0 0000009A R... B..
CAlliance::ChangeLeaderName                               0x00419800 0000009A R... B..
CAlliance::Clear                                          0x00418C60 00000051 R... B..
CAlliance::DeleteSetGuild                                 0x004190C0 00000049 R... B..
CAlliance::Expire                                         0x00419470 000000F6 R... B..
CAlliance::GetSize                                        0x004196C0 0000004D R... B..
CAlliance::IsLoad                                         0x00418D00 0000009B R... B..
CAlliance::Join                                           0x00419110 0000025A R... B..
CAlliance::Load                                           0x00418DA0 00000248 R... B..
CAlliance::LoadSetGuild                                   0x00418FF0 000000CE R... B..
CAlliance::OnDelete                                       0x00418CC0 00000035 R... B..
CAlliance::Postpone                                       0x00419400 0000006A R... B..
CAlliance::PostponeExpire                                 0x00419370 00000083 R... B..
CAlliance::Stop                                           0x00418BE0 00000076 R... B..
CAlliance::_CAlliance                                     0x00418BC0 0000001C R... B..
CAlliance::_scalar_deleting_destructor_                   0x00418B90 0000002C R... B..
CAmnesia::CAmnesia                                        0x0048F350 0000000F R......
CAmnesia::GetSpendMP                                      0x0048F370 0000000F R......
